record_id,buoy_id,Name,Country,Site Type,latitude,longitude,Date,Tz,Peak Direction,Tpeak,Wave Height,Temperature,Spread
217,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,22/07/2022,5.8,304,7.4,1.13,14.15,38
218,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,23/07/2022,7.2,248,10,1.07,14.2,21
219,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,24/07/2022,5,246,6.7,1.21,14.15,28
220,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,25/07/2022,4.6,257,8.7,1.24,14.1,49
221,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,26/07/2022,5.4,263,10,1.43,13.9,29
222,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,27/07/2022,5.2,326,9.5,0.97,13.8,57
223,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,28/07/2022,4.6,292,8.3,0.75,14.2,57
224,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,29/07/2022,6.4,252,7.7,1.02,14.45,31
225,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,30/07/2022,5,250,6.5,1.86,14.2,23
226,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,31/07/2022,6.3,284,7.7,2.02,14.35,41
227,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,01/08/2022,6.2,335,8.3,1.67,14.5,34
228,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,02/08/2022,5,214,7.1,1.9,14.5,28
229,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,03/08/2022,6,228,8.7,2.89,14.1,23
230,16,West of Hebrides,Scotland,Ocean,57.292167,-7.914167,04/08/2022,6.2,249,11.1,2.1,14.3,31
